rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR
1	100.0	10000	0.75	single_sentence	(sentence)	100.0%	0.0%	0.0%
2	100.0	25000	0.75	single_sentence	(sentence)	100.0%	0.0%	0.0%
3	99.9	50000	0.75	single_sentence	(sentence)	100.0%	0.0%	0.0%
4	99.8	50000	0.5	single_sentence	(sentence)	99.9%	0.0%	0.1%
5	99.7	25000	0.25	single_sentence	(sentence)	99.9%	0.0%	0.1%
6	99.6	10000	0.5	single_sentence	(sentence)	99.9%	0.0%	0.1%
7	99.6	10000	0.25	single_sentence	(sentence)	99.9%	0.0%	0.1%
8	99.6	25000	0.5	single_sentence	(sentence)	99.9%	0.0%	0.1%
9	99.1	50000	0.25	single_sentence	(sentence)	99.7%	0.0%	0.3%
10	79.7	10000	0.75	generate_buckets	10101010	98.7%	16.9%	1.1%
11	78.4	25000	0.75	generate_buckets	10101010	98.1%	16.5%	1.6%
12	77.6	50000	0.75	generate_buckets	10101010	97.5%	15.5%	2.2%
13	75.5	10000	0.5	generate_buckets	10101010	96.8%	15.5%	2.8%
14	73.7	25000	0.5	generate_buckets	10101010	96.3%	16.2%	3.2%
15	71.6	50000	0.5	generate_buckets	10101010	95.4%	15.9%	4.0%
16	63.7	25000	0.75	generate_buckets	1010101010	99.4%	34.9%	0.4%
17	63.4	10000	0.5	generate_buckets	1010101010	99.4%	35.2%	0.4%
18	63.2	10000	0.75	generate_buckets	1010101010	99.6%	35.8%	0.3%
19	62.6	50000	0.75	generate_buckets	1010101010	98.7%	34.5%	0.8%
20	62.2	25000	0.5	generate_buckets	1010101010	98.9%	35.2%	0.7%
21	61.8	50000	0.5	generate_buckets	1010101010	98.3%	34.2%	1.1%
22	60.0	25000	0.75	generate_buckets	01010101	97.0%	32.9%	2.1%
23	59.7	50000	0.75	generate_buckets	01010101	96.7%	32.5%	2.3%
24	59.6	10000	0.75	generate_buckets	01010101	97.1%	33.6%	2.0%
25	56.1	10000	0.75	generate_buckets	11001100	90.1%	15.5%	9.3%
26	55.1	10000	0.5	generate_buckets	01010101	95.1%	33.0%	3.5%
27	54.8	25000	0.75	generate_buckets	0011001100	99.2%	43.5%	0.5%
28	54.3	50000	0.5	generate_buckets	01010101	94.4%	32.1%	4.0%
29	54.2	10000	0.5	replace_logits_cosine	0011001100	99.8%	45.4%	0.1%
30	54.0	10000	0.5	replace_logits_cosine	001100110011	99.5%	44.8%	0.3%
31	53.8	10000	0.75	generate_buckets	0011001100	99.1%	44.4%	0.5%
32	53.4	10000	0.75	replace_logits_cosine	001100110011	99.6%	45.8%	0.2%
33	53.0	10000	0.75	replace_logits_cosine	0101010101	98.7%	44.2%	0.7%
34	52.8	50000	0.75	generate_buckets	0011001100	98.5%	43.9%	0.9%
35	52.7	25000	0.5	generate_buckets	01010101	94.1%	33.2%	4.2%
36	52.4	25000	0.5	generate_buckets	0011001100	98.5%	44.5%	0.8%
