rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR	PplRatio
1	140.4	25000	0.75	single_sentence	(sentence)	100.0%	0.0%	0.0%	0.385
2	139.1	10000	0.75	single_sentence	(sentence)	100.0%	0.0%	0.0%	0.435
3	138.1	50000	0.75	single_sentence	(sentence)	100.0%	0.0%	0.0%	0.471
4	136.6	25000	0.5	single_sentence	(sentence)	99.9%	0.0%	0.1%	0.521
5	136.2	10000	0.5	single_sentence	(sentence)	99.9%	0.0%	0.1%	0.535
6	135.9	50000	0.5	single_sentence	(sentence)	99.9%	0.0%	0.1%	0.555
7	135.6	25000	0.25	single_sentence	(sentence)	99.9%	0.0%	0.1%	0.562
8	135.5	10000	0.25	single_sentence	(sentence)	99.9%	0.0%	0.1%	0.563
9	134.1	50000	0.25	single_sentence	(sentence)	99.7%	0.0%	0.3%	0.600
10	79.7	10000	0.75	generate_buckets	10101010	98.7%	16.9%	1.1%	3.104
11	78.4	25000	0.75	generate_buckets	10101010	98.1%	16.5%	1.6%	2.861
12	77.6	50000	0.75	generate_buckets	10101010	97.5%	15.5%	2.2%	3.576
13	75.5	10000	0.5	generate_buckets	10101010	96.8%	15.5%	2.8%	2.927
14	73.7	25000	0.5	generate_buckets	10101010	96.3%	16.2%	3.2%	2.512
15	71.6	50000	0.5	generate_buckets	10101010	95.4%	15.9%	4.0%	3.062
16	70.3	10000	0.5	replace_logits_cosine	0011001100	99.8%	45.4%	0.1%	1.356
17	68.4	10000	0.5	replace_logits_cosine	010101010101	99.1%	49.3%	0.5%	1.219
18	68.3	10000	0.75	replace_logits_cosine	010101010101	99.2%	50.4%	0.4%	1.187
19	67.6	25000	0.5	replace_logits_cosine	001100110011	99.3%	51.7%	0.4%	1.170
20	67.6	10000	0.5	replace_logits_cosine	001100110011	99.5%	44.8%	0.3%	1.457
21	65.6	10000	0.75	replace_logits_cosine	0101010101	98.7%	44.2%	0.7%	1.495
22	64.5	25000	0.25	replace_logits_cosine	0011001100	99.2%	51.2%	0.4%	1.313
23	64.5	25000	0.75	replace_logits_cosine	010101010101	99.3%	53.7%	0.3%	1.221
24	64.4	25000	0.5	replace_logits_cosine	010101010101	99.1%	54.6%	0.4%	1.170
25	64.3	25000	0.5	replace_logits_cosine	0011001100	99.5%	50.9%	0.2%	1.353
26	64.1	25000	0.75	replace_logits_cosine	0011001100	98.7%	50.8%	0.7%	1.298
